,film_id,actor_id,actor_name,popularity
0,1,1,Penelope Guiness,19
1,23,1,Penelope Guiness,19
2,25,1,Penelope Guiness,19
3,106,1,Penelope Guiness,19
4,140,1,Penelope Guiness,19
5,166,1,Penelope Guiness,19
6,277,1,Penelope Guiness,19
7,361,1,Penelope Guiness,19
8,438,1,Penelope Guiness,19
9,499,1,Penelope Guiness,19
10,506,1,Penelope Guiness,19
11,509,1,Penelope Guiness,19
12,605,1,Penelope Guiness,19
13,635,1,Penelope Guiness,19
14,749,1,Penelope Guiness,19
15,832,1,Penelope Guiness,19
16,939,1,Penelope Guiness,19
17,970,1,Penelope Guiness,19
18,980,1,Penelope Guiness,19
19,3,2,Nick Wahlberg,25
20,31,2,Nick Wahlberg,25
21,47,2,Nick Wahlberg,25
22,105,2,Nick Wahlberg,25
23,132,2,Nick Wahlberg,25
24,145,2,Nick Wahlberg,25
25,226,2,Nick Wahlberg,25
26,249,2,Nick Wahlberg,25
27,314,2,Nick Wahlberg,25
28,321,2,Nick Wahlberg,25
29,357,2,Nick Wahlberg,25
30,369,2,Nick Wahlberg,25
31,399,2,Nick Wahlberg,25
32,458,2,Nick Wahlberg,25
33,481,2,Nick Wahlberg,25
34,485,2,Nick Wahlberg,25
35,518,2,Nick Wahlberg,25
36,540,2,Nick Wahlberg,25
37,550,2,Nick Wahlberg,25
38,555,2,Nick Wahlberg,25
39,561,2,Nick Wahlberg,25
40,742,2,Nick Wahlberg,25
41,754,2,Nick Wahlberg,25
42,811,2,Nick Wahlberg,25
43,958,2,Nick Wahlberg,25
44,17,3,Ed Chase,22
45,40,3,Ed Chase,22
46,42,3,Ed Chase,22
47,87,3,Ed Chase,22
48,111,3,Ed Chase,22
49,185,3,Ed Chase,22
50,289,3,Ed Chase,22
51,329,3,Ed Chase,22
52,336,3,Ed Chase,22
53,341,3,Ed Chase,22
54,393,3,Ed Chase,22
55,441,3,Ed Chase,22
56,453,3,Ed Chase,22
57,480,3,Ed Chase,22
58,539,3,Ed Chase,22
59,618,3,Ed Chase,22
60,685,3,Ed Chase,22
61,827,3,Ed Chase,22
62,966,3,Ed Chase,22
63,967,3,Ed Chase,22
64,971,3,Ed Chase,22
65,996,3,Ed Chase,22
66,23,4,Jennifer Davis,22
67,25,4,Jennifer Davis,22
68,56,4,Jennifer Davis,22
69,62,4,Jennifer Davis,22
70,79,4,Jennifer Davis,22
71,87,4,Jennifer Davis,22
72,355,4,Jennifer Davis,22
73,379,4,Jennifer Davis,22
74,398,4,Jennifer Davis,22
75,463,4,Jennifer Davis,22
76,490,4,Jennifer Davis,22
77,616,4,Jennifer Davis,22
78,635,4,Jennifer Davis,22
79,691,4,Jennifer Davis,22
80,712,4,Jennifer Davis,22
81,714,4,Jennifer Davis,22
82,721,4,Jennifer Davis,22
83,798,4,Jennifer Davis,22
84,832,4,Jennifer Davis,22
85,858,4,Jennifer Davis,22
86,909,4,Jennifer Davis,22
87,924,4,Jennifer Davis,22
88,19,5,Johnny Lollobrigida,29
89,54,5,Johnny Lollobrigida,29
90,85,5,Johnny Lollobrigida,29
91,146,5,Johnny Lollobrigida,29
92,171,5,Johnny Lollobrigida,29
93,172,5,Johnny Lollobrigida,29
94,202,5,Johnny Lollobrigida,29
95,203,5,Johnny Lollobrigida,29
96,286,5,Johnny Lollobrigida,29
97,288,5,Johnny Lollobrigida,29
98,316,5,Johnny Lollobrigida,29
99,340,5,Johnny Lollobrigida,29
100,369,5,Johnny Lollobrigida,29
101,375,5,Johnny Lollobrigida,29
102,383,5,Johnny Lollobrigida,29
103,392,5,Johnny Lollobrigida,29
104,411,5,Johnny Lollobrigida,29
105,503,5,Johnny Lollobrigida,29
106,535,5,Johnny Lollobrigida,29
107,571,5,Johnny Lollobrigida,29
108,650,5,Johnny Lollobrigida,29
109,665,5,Johnny Lollobrigida,29
110,687,5,Johnny Lollobrigida,29
111,730,5,Johnny Lollobrigida,29
112,732,5,Johnny Lollobrigida,29
113,811,5,Johnny Lollobrigida,29
114,817,5,Johnny Lollobrigida,29
115,841,5,Johnny Lollobrigida,29
116,865,5,Johnny Lollobrigida,29
117,29,6,Bette Nicholson,20
118,53,6,Bette Nicholson,20
119,60,6,Bette Nicholson,20
120,70,6,Bette Nicholson,20
121,112,6,Bette Nicholson,20
122,164,6,Bette Nicholson,20
123,165,6,Bette Nicholson,20
124,193,6,Bette Nicholson,20
125,256,6,Bette Nicholson,20
126,451,6,Bette Nicholson,20
127,503,6,Bette Nicholson,20
128,509,6,Bette Nicholson,20
129,517,6,Bette Nicholson,20
